                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56058,                 2.3197,                 1.0508,                0.53425,                 0.5061,                0.51631,                0.36668,                 1.1811,                 2.2275,                 1.5146,              0.0033313,              0.0033313,              0.0033313
                      2,                0.56885,                 1.5481,                 1.0335,                0.55906,                  0.494,                  0.517,                0.35491,                 1.3411,                 1.8979,                 1.6369,              0.0065986,              0.0065986,              0.0065986
                      3,                0.62294,                 1.4048,                 1.0591,                0.49037,                0.44181,                0.44654,                0.29265,                 1.4363,                 2.0411,                 1.7583,                 0.0098,                 0.0098,                 0.0098
                      4,                0.62317,                 1.3472,                 1.0658,                0.58994,                0.45085,                0.48749,                0.31114,                 1.5184,                 2.0008,                 1.8574,               0.009703,               0.009703,               0.009703
                      5,                 0.5733,                 1.2176,                 1.0425,                0.63113,                0.56746,                0.61296,                0.42821,                 1.2765,                  1.523,                 1.6048,               0.009604,               0.009604,               0.009604
                      6,                0.54539,                 1.1386,                 1.0274,                0.68207,                0.57676,                 0.6351,                0.44991,                 1.2284,                 1.4701,                 1.5613,               0.009505,               0.009505,               0.009505
                      7,                 0.5203,                 1.0644,                 1.0151,                 0.7229,                0.65091,                0.70509,                0.50103,                 1.1423,                 1.2724,                 1.4831,               0.009406,               0.009406,               0.009406
                      8,                0.50708,                 1.0193,                 1.0078,                0.74125,                0.65922,                0.72491,                0.53373,                 1.0903,                 1.2088,                  1.413,               0.009307,               0.009307,               0.009307
                      9,                0.49077,                0.98583,                 1.0004,                0.75863,                0.68528,                 0.7467,                0.54905,                 1.0735,                 1.1288,                 1.4216,               0.009208,               0.009208,               0.009208
                     10,                0.48276,                0.95867,                0.99478,                0.79071,                0.68959,                0.77302,                0.58655,                 1.0188,                 1.0508,                 1.3468,               0.009109,               0.009109,               0.009109
                     11,                 0.4802,                0.93857,                 0.9955,                0.78452,                0.70751,                0.78246,                0.59888,                0.98183,                  1.044,                 1.3302,                0.00901,                0.00901,                0.00901
                     12,                 0.4628,                0.90716,                0.98673,                0.81685,                0.73973,                0.80855,                0.62709,                0.94773,                0.95053,                 1.2965,               0.008911,               0.008911,               0.008911
                     13,                0.45971,                0.88758,                0.98205,                0.80604,                0.76575,                0.82155,                0.63242,                0.93743,                0.92781,                 1.2957,               0.008812,               0.008812,               0.008812
                     14,                0.45558,                0.86545,                0.97991,                 0.8261,                0.74971,                0.82535,                0.63799,                0.93264,                 0.9188,                 1.2729,               0.008713,               0.008713,               0.008713
                     15,                 0.4474,                 0.8494,                0.97708,                0.81041,                0.77093,                0.83277,                0.65041,                0.91035,                0.86876,                 1.2624,               0.008614,               0.008614,               0.008614
                     16,                0.44674,                0.83531,                0.97696,                0.83342,                0.76786,                0.84819,                0.66596,                0.88556,                0.85778,                 1.2459,               0.008515,               0.008515,               0.008515
                     17,                0.44101,                0.82274,                0.97355,                0.86066,                0.78011,                0.85922,                0.68051,                0.86897,                0.81232,                 1.2342,               0.008416,               0.008416,               0.008416
                     18,                0.43936,                0.81599,                0.97116,                 0.8523,                0.78966,                 0.8612,                0.68315,                0.85451,                0.80997,                  1.218,               0.008317,               0.008317,               0.008317
                     19,                0.43737,                0.79613,                0.96924,                0.85736,                0.79298,                0.86758,                0.69486,                 0.8379,                0.77516,                 1.2032,               0.008218,               0.008218,               0.008218
                     20,                0.42992,                0.78848,                0.96658,                0.85175,                0.80033,                0.87256,                0.70167,                0.82968,                0.75925,                 1.1928,               0.008119,               0.008119,               0.008119
                     21,                0.42967,                0.77497,                0.96561,                0.86299,                0.82356,                0.88006,                 0.7137,                0.81444,                0.74096,                 1.1833,                0.00802,                0.00802,                0.00802
                     22,                 0.4219,                0.76088,                0.96388,                0.86037,                0.83358,                 0.8849,                0.72093,                0.80213,                0.72322,                 1.1698,               0.007921,               0.007921,               0.007921
                     23,                0.42163,                 0.7576,                0.96343,                0.87632,                0.82075,                0.89227,                0.72357,                0.79706,                0.70799,                  1.168,               0.007822,               0.007822,               0.007822
                     24,                 0.4205,                0.74919,                0.96082,                 0.8791,                0.82333,                0.89601,                0.73073,                0.78625,                0.69182,                 1.1559,               0.007723,               0.007723,               0.007723
                     25,                0.41642,                0.74144,                0.96082,                0.88597,                0.82476,                0.89748,                0.73589,                0.77368,                0.67374,                 1.1452,               0.007624,               0.007624,               0.007624
                     26,                0.41385,                0.73087,                0.95824,                0.88694,                0.83852,                 0.9006,                0.73804,                0.77153,                0.67308,                 1.1444,               0.007525,               0.007525,               0.007525
                     27,                0.41242,                0.72239,                0.95724,                0.89099,                0.83783,                0.90602,                0.74034,                0.76424,                0.66372,                 1.1386,               0.007426,               0.007426,               0.007426
                     28,                0.41031,                0.71851,                0.95682,                 0.8923,                0.84482,                0.91247,                0.74911,                0.75424,                0.64747,                 1.1325,               0.007327,               0.007327,               0.007327
                     29,                 0.4082,                0.70883,                0.95536,                0.89469,                0.85468,                0.91641,                0.75638,                 0.7569,                0.63326,                 1.1311,               0.007228,               0.007228,               0.007228
                     30,                0.40565,                0.70043,                0.95607,                0.90201,                 0.8538,                0.91905,                0.75984,                0.74877,                0.62243,                 1.1277,               0.007129,               0.007129,               0.007129
                     31,                0.40187,                0.68806,                0.95194,                0.90899,                0.85207,                0.92195,                 0.7607,                0.74232,                0.61376,                 1.1251,                0.00703,                0.00703,                0.00703
                     32,                0.40315,                0.69083,                0.95381,                0.90394,                0.86226,                0.92373,                0.76209,                0.73311,                 0.6122,                 1.1182,               0.006931,               0.006931,               0.006931
                     33,                0.40023,                0.68197,                0.95124,                0.89979,                0.86793,                0.92489,                0.76681,                0.72883,                0.60137,                  1.116,               0.006832,               0.006832,               0.006832
